componentName,quantity
20 CI FP BV FL 3PD MWII ENDPIECE,7
25 CI FP BV FL 3PD MWII ENDPIECE,147
40 CI FP BV FL 3PD MWII ENDPIECE,217
50 CI FP BV FL 3PD MWII ENDPIECE,10
65 CI FP BV FL 3PD MWII ENDPIECE,0
80 CI FP BV FL 3PD MWII ENDPIECE,5
100 CI FP BV FL 3PD MWII ENDPIECE,6
125 CI FP BV FL 3PD MWII ENDPIECE,14
150 CI FP BV FL 3PD MWII ENDPIECE,2
40 CI FP BV FL 2PD ENDPIECE,18
50 CI FP BV FL 2PD ENDPIECE,15
50 CI FP BV FL ASA 1,0
65 CI FP BV FL ASA 150 ENDPIECE,10
80 CI FP BV FL ASA 150 ENDPIECE,24
100 CI FP BV FL ASA 150 ENDPIECE,10
80 CI RP BV FL ASA 150 ENDPIECE,0
80 CI RP BV FL 3PD BODY,12
100 CI RP BV FL 3PD BODY,55
150 CI RP BV FL 3PD BODY,0
20 CI RP BV FL 3PD MWII ENDPIECE,0
25 CI RP BV FL 3PD MWII ENDPIECE,48
40 CI RP BV FL 3PD MWII ENDPIECE,225
50 CI RP BV FL 3PD MWII ENDPIECE,2
65 CI RP BV FL 3PD MWII ENDPIECE,42
80 CI RP BV FL 3PD MWII ENDPIECE,15
100 CI RP BV FL 3PD MWII ENDPIECE,30
150 CI RP BV FL 3PD MWII ENDPIECE,0
15 CI FP BV SC 3PD BODY,24
20 CI FP BV SC 3PD BODY,24
25 CI FP BV SC 3PD BODY,17
40 CI FP BV SC 3PD BODY,8
50 CI FP BV SC 3PD BODY,53
15 CI FP BV SC 3PD ENDPIECE,280
20 CI FP BV SC 3PD ENDPIECE,35
25 CI FP BV SC 3PD ENDPIECE,236
40 CI FP BV SC 3PD ENDPIECE,3
50 CI FP BV SC 3PD ENDPIECE,20
80 CI RP BV 3WAY SLEEVE,3
100 CI RP BV 3WAY SLEEVE,0
50 CI RP BV 3WAY BODY,2
80 CI RP BV 3WAY BODY,1
50 CI RP B V 3WAY ENDPIECE,0
100 CI RP B V 3WAY ENDPIECE,0
25 CF8 INV HOLLOW BALL,59
32 CF8 INV HOLLOW BALL,4
40 CF8 INV HOLLOW BALL,544
50 CF8 INV HOLLOW BALL,240
65 CF8 INV HOLLOW BALL,0
80 CF8 INV HOLLOW BALL,31
100 CF8 INV HOLLOW BALL,4
125 CF8 INV HOLLOW BALL,2
150 CF8 INV HOLLOW BALL,4
20 CF8M INV HOLLOW BALL,0
25 CF8M INV HOLLOW BALL,143
40 CF8M INV HOLLOW BALL,1
50 CF8M INV HOLLOW BALL,2
65 CF8M INV HOLLOW BALL,0
80 CF8M INV HOLLOW BALL,5
100 CF8M INV HOLLOW BALL,15
150 CF8M INV HOLLOW BALL,0
25 CF8M SOLID BALL,5
40 CF8M SOLID BALL,21
50 CF8M SOLID BALL,13
65 CF8M SOLID BALL,26
80 CF8M SOLID BALL,9
22*13*5 PTFE RING,0
26*13*5 PTFE RIND,44
32*19*5 PTFE RING,981
37*25*5 PTFE RING,"1,389"
42*25*5 PTFE RING,942
45*31*8 PTFE RING,216
51*31*9 PTFE RING,227
50*/38*6 PTFE RING,"2,497"
54*38*9 PTFE RING,950
65*51*7 PTFE RING,642
70*50*9 or 10 PTFE RING,536
80*60*11 PTFE RING,258
95*75*8 PTFE RING,249
95*75*11 PTFE RING,60
122*100*10 PTFE RING,52
130*100*12 PTFE RING,0
155*125*12 PTFE RING,7
186*152*15 PTFE RING,14
16*12*2 PTFE STEM SEAL,"3,071"
16*12*3 PTFE STEM SEAL,859
18*12*2 PTFE STEM SEAL,"5,056"
22*16*2 PTFE STEM SEAL,192
28*22*2 PTFE STEM SEAL,0
28*22*3 PTFE STEM SEAL,"5,284"
32*26*3 PTFE STEM SEAL,"1,006"
36*26*3 PTFE STEM SEAL,0
40*30*3 PTFE STEM SEAL,640
40*34*3 PTFE STEM SEAL,253
44*34*3 PTFE STEM SEAL,299
54*44*5 PTFE STEM SEAL,50
28*22*1.5 PTFE BODY SEALS,781
38*32*2 PTFE BODY SEALS,"3,272"
48*42*2 PTFE BODY SEALS,897
52*46*2 PTFE BODY SEALS,36
57*51*2 PTFE BODY SEALS,809
70*64*2 PTFE BODY SEALS,"4,220"
87*81*2 PTFE BODY SEALS,"1,107"
102*96*2.5 PTFE BODY SEALS,448
128*122*3 PTFE BODY SEALS,232
162*156*3 PTFE BODY SEALS,200
198*192*3 PTFE BODY SEALS,81
240*230*3 PTFE BODY SEALS,24
30*19*5 PTFE SC TEFLON IPD,0
34.5*21*6 PTFE SC TEFLON IPD,0
38*25*5 PTFE SC TEFLON IPD,0
24.5*12*4 PTFE SC TEFLON IPD,0
31*19*6 PTFE SC TEFLON IPD,0
39.5*25*6 PTFE SC TEFLON IPD,0
14*11*2 PTFE SC STEMSEALS,0
30*26*1..5 PTFE SC BODYSEALS IPD,0
36.5*32.5*1.5 PTFE SC BODYSEALS IPD,0
38*32*1 PTFE SC BODYSEALS IPD,0
40*35*1.5 PTFE SC BODYSEALS IPD,0
45*38*1 PTFE SC BODYSEALS IPD,0
45*41*1.5 PTFE SC BODYSEALS IPD,0
54*49*1 PTFE SC BODYSEALS IPD,0
20.5*10*5 MOS2 RING,106
22*13*5 MOS2 RING,0
25.5*14*5.5 MOS2 RING,109
32*19*5 MOS2 RING,53
34.5*25*5 MOS2 RING,0
35*21*6.5 MOS2 RING,88
37*25*5 MOS2 RING,111
42*25*5 MOS2 RING,76
45*31*8 MOS2 RING,82
50*38*6 MOS2 RING,213
54*30*9 MOS2 RING,0
54*38*9 MOS2 RING,107
65*51*7 MOS2 RING,112
70*50*10 MOS2 RING,83
80*60*11 MOS2 RING,92
95*75*8 MOS2 RING,23
95*75*11 MOS2 RING,32
122*100*10 MOS2 RING,30
16*12*2 MOS2 FL STEMSEL,658
18*12*2 MOS2 FL STEMSEL,423
22*16*2 MOS2 FL STEMSEL,226
28*22*3 MOS2 FL STEMSEL,354
32*26*3 MOS2 FL STEMSEL,54
40*34*3 MOS2 FL STEMSEL,27
26*20*2 MOS2 FL BODYSEL,109
28*22*1.5 MOS2 FL BODYSEL,203
32*26*2 MOS2 FL BODYSEL,103
38*32*2 MOS2 FL BODYSEL,1
41*35*2 MOS2 FL BODYSEL,69
48*42*2 MOS2 FL BODYSEL,137
57*51*2 MOS2 FL BODYSEL,52
60*54*2 MOS2 FL BODYSEL,0
70*64*2 MOS2 FL BODYSEL,89
87*81*2 MOS2 FL BODYSEL,45
102*96*2.5 MOS2 FL BODYSEL,67
128*122*3 MOS2 FL BODYSEL,127
162*156*3 MOS2 FL BODYSEL,33
22*13*5 PEAK RING,39
32*19*5 PEAK RING,169
